# Accelerometer Data File
# Started @Wed Oct 14 09:10:04 GMT+02:00 2020
#
#
# sensor Vendor: STM
# sensor Name: LSM6DSL Acceleration Sensor
# sensor Resolution: 0.0023942017m/sec^2; Max Range: 78.4532; Min Delay: 2000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.794 3.919 7.467 2
0.828 3.96 7.381 2
0.835 3.984 7.343 2
0.861 4.022 7.273 2
0.852 4.072 7.218 2
0.84 4.113 7.209 2
0.845 4.175 7.178 2
0.857 4.23 7.142 2
0.859 4.259 7.122 2
0.909 4.309 7.055 2
0.967 4.364 6.979 2
0.979 4.391 6.943 2
0.991 4.422 6.9 2
1.015 4.434 6.883 2
1.053 4.455 6.864 2
1.07 4.496 6.878 2
1.07 4.496 6.878 2
1.079 4.534 6.871 2
1.072 4.561 6.893 2
1.06 4.577 6.905 2
1.039 4.606 6.955 2
1.01 4.618 7.027 2
0.993 4.632 7.065 2
0.96 4.661 7.146 2
0.928 4.668 7.197 2
0.864 4.685 7.307 2
0.821 4.699 7.429 2
0.792 4.697 7.489 2
0.751 4.695 7.606 2
0.715 4.702 7.707 2
0.691 4.707 7.759 2
0.641 4.721 7.858 2
0.627 4.723 7.956 2
0.615 4.726 8.001 2
0.577 4.74 8.08 2
0.524 4.752 8.15 2
0.498 4.755 8.178 2
0.445 4.759 8.253 2
0.411 4.755 8.288 2
0.373 4.759 8.367 2
0.296 4.762 8.406 2
0.265 4.757 8.437 2
0.213 4.767 8.494 2
0.174 4.767 8.528 2
0.148 4.767 8.537 2
0.083 4.788 8.602 2
0.062 4.793 8.616 2
0.038 4.798 8.64 2
0.007 4.807 8.681 2
-0.011 4.822 8.698 2
-0.045 4.841 8.746 2
-0.083 4.869 8.803 2
-0.09 4.881 8.834 2
-0.107 4.896 8.875 2
-0.124 4.917 8.911 2
-0.114 4.922 8.921 2
-0.105 4.927 8.978 2
-0.112 4.946 9.026 2
-0.105 4.946 9.05 2
-0.11 4.946 9.103 2
-0.138 4.936 9.179 2
-0.146 4.925 9.21 2
-0.138 4.922 9.268 2
-0.158 4.896 9.33 2
-0.153 4.903 9.349 2
-0.162 4.881 9.419 2
-0.174 4.874 9.45 2
-0.189 4.86 9.512 2
-0.201 4.834 9.574 2
-0.21 4.831 9.603 2
-0.239 4.831 9.663 2
-0.256 4.812 9.723 2
-0.268 4.805 9.749 2
-0.292 4.802 9.806 2
-0.306 4.795 9.823 2
-0.332 4.774 9.862 2
-0.335 4.781 9.885 2
-0.344 4.781 9.912 2
-0.349 4.783 9.962 2
-0.368 4.781 9.979 2
-0.361 4.781 9.993 2
-0.366 4.788 10.0 2
-0.363 4.783 9.996 2
-0.354 4.786 9.993 2
-0.349 4.771 9.976 2
-0.366 4.771 9.945 2
-0.356 4.776 9.941 2
-0.366 4.769 9.905 2
-0.371 4.769 9.89 2
-0.373 4.774 9.845 2
-0.375 4.774 9.794 2
-0.378 4.781 9.775 2
-0.392 4.783 9.723 2
-0.38 4.81 9.653 2
-0.368 4.812 9.615 2
-0.356 4.824 9.553 2
-0.356 4.829 9.493 2
-0.347 4.843 9.454 2
-0.323 4.86 9.371 2
-0.299 4.867 9.323 2
-0.282 4.874 9.251 2
-0.268 4.891 9.194 2
-0.244 4.896 9.148 2
-0.215 4.92 9.052 2
-0.193 4.939 8.98 2
-0.184 4.965 8.894 2
-0.177 4.965 8.856 2
-0.138 4.996 8.777 2
-0.131 5.004 8.741 2
-0.11 5.018 8.698 2
-0.1 5.039 8.64 2
-0.093 5.047 8.621 2
